"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"8756","locus210",NA,0,118386,NA,"locus210 NA"
"8757","locus210",NA,0.001413,166867,NA,"locus210 NA"
"8758","locus210",NA,0,204079,NA,"locus210 NA"
"8759","locus210",NA,0.001567,112614,NA,"locus210 NA"
"8760","locus210",NA,0,166539,NA,"locus210 NA"
"8761","locus210",NA,0,205002,NA,"locus210 NA"
"8762","locus210",NA,0,100004,NA,"locus210 NA"
"8763","locus210",NA,0.001923,112476,NA,"locus210 NA"
"8764","locus210",NA,0.002032,112759,NA,"locus210 NA"
"8765","locus210",NA,0.002146,112617,NA,"locus210 NA"
"8766","locus210",NA,0.002058,91047,NA,"locus210 NA"
"8767","locus210",NA,0.002048,134723,NA,"locus210 NA"
"8768","locus210",NA,0.001985,112465,NA,"locus210 NA"
"8769","locus215",NA,0.001949,112449,NA,"locus215 NA"
"8770","locus215",NA,0,112620,NA,"locus215 NA"
"8771","locus215",NA,0,120299,NA,"locus215 NA"
"8772","locus215",NA,0,92258,NA,"locus215 NA"
"8773","locus215",NA,0.002168,120143,NA,"locus215 NA"
"8774","locus215",NA,0.001261,166330,NA,"locus215 NA"
"8775","locus215",NA,0.002109,120538,NA,"locus215 NA"
"8776","locus215",NA,0,119763,NA,"locus215 NA"
"8777","locus215",NA,0.0017,112526,NA,"locus215 NA"
"8778","locus215",NA,0.000967,118824,NA,"locus215 NA"
"8779","locus215",NA,0.001957,92448,NA,"locus215 NA"
"8780","locus215",NA,0,119930,NA,"locus215 NA"
"8781","locus215",NA,0.002324,134692,NA,"locus215 NA"
"8782","locus215",NA,0,204586,NA,"locus215 NA"
"8783","locus215",NA,0.000966,119371,NA,"locus215 NA"
"8784","locus215",NA,0.00202,92458,NA,"locus215 NA"
"8785","locus215",NA,0.001947,92679,NA,"locus215 NA"
"8786","locus215",NA,NA,NA,NA,"locus215 NA"
"8787","locus215",NA,0.001341,167406,NA,"locus215 NA"
"8788","locus215",NA,0,91576,NA,"locus215 NA"
"8789","locus215",NA,0.003163,73857,NA,"locus215 NA"
"8790","locus215",NA,0,166615,NA,"locus215 NA"
"8791","locus215",NA,0.00212,112915,NA,"locus215 NA"
"8792","locus215",NA,0.001845,93002,NA,"locus215 NA"
"8793","locus215",NA,0.003493,82351,NA,"locus215 NA"
"8794","locus215",NA,0.00096,119225,NA,"locus215 NA"
"8795","locus215",NA,NA,NA,NA,"locus215 NA"
"8796","locus215",NA,0,204207,NA,"locus215 NA"
"8797","locus215",NA,0,204878,NA,"locus215 NA"
"8798","locus215",NA,0,119398,NA,"locus215 NA"
"8799","locus215",NA,0.003226,73644,NA,"locus215 NA"
"8800","locus215",NA,0,167395,NA,"locus215 NA"
"8801","locus215",NA,0,120340,NA,"locus215 NA"
"8802","locus215",NA,0.000958,119187,NA,"locus215 NA"
"8803","locus215",NA,0.002285,112724,NA,"locus215 NA"
"8804","locus215",NA,0,90988,NA,"locus215 NA"
"8805","locus215",NA,NA,NA,NA,"locus215 NA"
"8806","locus215",NA,0.001935,120384,NA,"locus215 NA"
"8807","locus215",NA,0,204831,NA,"locus215 NA"
"8808","locus215",NA,0.002069,90975,NA,"locus215 NA"
"8809","locus215",NA,0,204553,NA,"locus215 NA"
"8810","locus215",NA,0.001527,166596,NA,"locus215 NA"
"8811","locus215",NA,0,119091,NA,"locus215 NA"
"8812","locus215",NA,0.00193,92249,NA,"locus215 NA"
"8813","locus215",NA,0,119060,NA,"locus215 NA"
"8814","locus215",NA,0.003114,78617,NA,"locus215 NA"
"8815","locus215",NA,0,82205,NA,"locus215 NA"
"8816","locus215",NA,0.001934,112384,NA,"locus215 NA"
"8817","locus215",NA,0.001956,92189,NA,"locus215 NA"
"8818","locus215",NA,NA,NA,NA,"locus215 NA"
"8819","locus215",NA,0.002531,73974,NA,"locus215 NA"
"8820","locus215",NA,0.001494,134705,NA,"locus215 NA"
"8821","locus215",NA,0.002188,91177,NA,"locus215 NA"
"8822","locus215",NA,0.001319,204600,NA,"locus215 NA"
"8823","locus215",NA,0.001924,92527,NA,"locus215 NA"
"8824","locus215",NA,0.0022,91411,NA,"locus215 NA"
"8825","locus215",NA,0.003042,73596,NA,"locus215 NA"
"8826","locus215",NA,0,120455,NA,"locus215 NA"
"8827","locus215",NA,0.002271,120221,NA,"locus215 NA"
"8828","locus215",NA,0,200371,NA,"locus215 NA"
"8829","locus215",NA,0,120293,NA,"locus215 NA"
"8830","locus215",NA,0,118723,NA,"locus215 NA"
"8831","locus215",NA,0.001525,166947,NA,"locus215 NA"
"8832","locus215",NA,0,166102,NA,"locus215 NA"
"8833","locus215",NA,0.001926,135090,NA,"locus215 NA"
"8834","locus215",NA,0.00211,112754,NA,"locus215 NA"
"8835","locus215",NA,0,91541,NA,"locus215 NA"
"8836","locus215",NA,NA,NA,NA,"locus215 NA"
"8837","locus215",NA,0.003277,81763,NA,"locus215 NA"
"8838","locus215",NA,0,204570,NA,"locus215 NA"
"8839","locus215",NA,0,91209,NA,"locus215 NA"
"8840","locus215",NA,0.001514,112434,NA,"locus215 NA"
"8841","locus215",NA,0.001934,112612,NA,"locus215 NA"
"8842","locus215",NA,0,167030,NA,"locus215 NA"
"8843","locus215",NA,0,120338,NA,"locus215 NA"
"8844","locus215",NA,0.001447,166407,NA,"locus215 NA"
"8845","locus215",NA,0,166264,NA,"locus215 NA"
"8846","locus215",NA,0.0021,91138,NA,"locus215 NA"
"8847","locus215",NA,0,167151,NA,"locus215 NA"
"8848","locus215",NA,0,135070,NA,"locus215 NA"
"8849","locus215",NA,0.001329,166857,NA,"locus215 NA"
"8850","locus215",NA,0,78340,NA,"locus215 NA"
"8851","locus215",NA,0,204831,NA,"locus215 NA"
"8852","locus215",NA,0,118931,NA,"locus215 NA"
"8853","locus215",NA,0.002047,134502,NA,"locus215 NA"
"8854","locus215",NA,0,112536,NA,"locus215 NA"
"8855","locus215",NA,0,119208,NA,"locus215 NA"
"8856","locus215",NA,0.002134,120602,NA,"locus215 NA"
"8857","locus215",NA,0,166880,NA,"locus215 NA"
"8858","locus215",NA,0,119291,NA,"locus215 NA"
"8859","locus215",NA,0,120494,NA,"locus215 NA"
"8860","locus215",NA,0.002133,113326,NA,"locus215 NA"
"8861","locus215",NA,0.001919,134741,NA,"locus215 NA"
"8862","locus215",NA,0,204818,NA,"locus215 NA"
"8863","locus215",NA,0.001868,113122,NA,"locus215 NA"
"8864","locus215",NA,0,250028,NA,"locus215 NA"
"8865","locus215",NA,0.001216,204854,NA,"locus215 NA"
"8866","locus215",NA,NA,NA,NA,"locus215 NA"
"8867","locus215",NA,0.001609,166984,NA,"locus215 NA"
"8868","locus215",NA,0,119582,NA,"locus215 NA"
"8869","locus215",NA,0.000683,204213,NA,"locus215 NA"
"8870","locus215",NA,0.001512,166790,NA,"locus215 NA"
"8871","locus215",NA,NA,NA,NA,"locus215 NA"
"8872",NA,NA,112226,NA,NA,"NA NA"
"8873",NA,NA,166387,NA,NA,"NA NA"
"8874",NA,NA,119513,NA,NA,"NA NA"
"8875",NA,NA,204518,NA,NA,"NA NA"
"8876",NA,NA,113338,NA,NA,"NA NA"
"8877",NA,NA,91400,NA,NA,"NA NA"
"8878",NA,NA,166553,NA,NA,"NA NA"
"8879",NA,NA,112546,NA,NA,"NA NA"
"8880",NA,NA,119801,NA,NA,"NA NA"
"8881",NA,NA,167299,NA,NA,"NA NA"
"8882",NA,NA,204971,NA,NA,"NA NA"
"8883",NA,NA,204263,NA,NA,"NA NA"
"8884",NA,NA,166487,NA,NA,"NA NA"
"8885",NA,NA,120556,NA,NA,"NA NA"
"8886",NA,NA,112705,NA,NA,"NA NA"
"8887",NA,NA,119189,NA,NA,"NA NA"
"8888",NA,NA,119238,NA,NA,"NA NA"
"8889",NA,NA,200342,NA,NA,"NA NA"
"8890",NA,NA,204773,NA,NA,"NA NA"
"8891",NA,NA,113138,NA,NA,"NA NA"
"8892",NA,NA,167226,NA,NA,"NA NA"
"8893",NA,NA,204737,NA,NA,"NA NA"
"8894",NA,NA,100315,NA,NA,"NA NA"
"8895",NA,NA,113107,NA,NA,"NA NA"
"8896",NA,NA,113313,NA,NA,"NA NA"
"8897",NA,NA,112662,NA,NA,"NA NA"
"8898",NA,NA,91968,NA,NA,"NA NA"
"8899",NA,NA,135068,NA,NA,"NA NA"
"8900",NA,NA,112490,NA,NA,"NA NA"
"8901",NA,NA,120817,NA,NA,"NA NA"
"8902",NA,NA,NA,NA,NA,"NA NA"
"8903",NA,NA,NA,NA,NA,"NA NA"
"8904",NA,NA,NA,NA,NA,"NA NA"
"8905",NA,NA,NA,NA,NA,"NA NA"
"8906",NA,NA,NA,NA,NA,"NA NA"
"8907",NA,NA,NA,NA,NA,"NA NA"
"8908",NA,NA,NA,NA,NA,"NA NA"
"8909",NA,NA,NA,NA,NA,"NA NA"
"8910",NA,NA,NA,NA,NA,"NA NA"
"8911",NA,NA,NA,NA,NA,"NA NA"
"8912",NA,NA,NA,NA,NA,"NA NA"
"8913",NA,NA,NA,NA,NA,"NA NA"
"8914",NA,NA,NA,NA,NA,"NA NA"
"8915",NA,NA,NA,NA,NA,"NA NA"
"8916",NA,NA,NA,NA,NA,"NA NA"
"8917",NA,NA,NA,NA,NA,"NA NA"
"8918",NA,NA,NA,NA,NA,"NA NA"
"8919",NA,NA,NA,NA,NA,"NA NA"
"8920",NA,NA,NA,NA,NA,"NA NA"
"8921",NA,NA,NA,NA,NA,"NA NA"
"8922",NA,NA,NA,NA,NA,"NA NA"
"8923",NA,NA,NA,NA,NA,"NA NA"
"8924",NA,NA,NA,NA,NA,"NA NA"
"8925",NA,NA,NA,NA,NA,"NA NA"
"8926",NA,NA,NA,NA,NA,"NA NA"
"8927",NA,NA,NA,NA,NA,"NA NA"
"8928",NA,NA,NA,NA,NA,"NA NA"
"8929",NA,NA,NA,NA,NA,"NA NA"
"8930",NA,NA,NA,NA,NA,"NA NA"
"8931",NA,NA,NA,NA,NA,"NA NA"
"8932",NA,NA,NA,NA,NA,"NA NA"
"8933",NA,NA,NA,NA,NA,"NA NA"
"8934",NA,NA,NA,NA,NA,"NA NA"
"8935",NA,NA,NA,NA,NA,"NA NA"
"8936",NA,NA,NA,NA,NA,"NA NA"
"8937",NA,NA,NA,NA,NA,"NA NA"
"8938",NA,NA,NA,NA,NA,"NA NA"
"8939",NA,NA,NA,NA,NA,"NA NA"
"8940",NA,NA,NA,NA,NA,"NA NA"
"8941",NA,NA,NA,NA,NA,"NA NA"
"8942",NA,NA,NA,NA,NA,"NA NA"
"8943",NA,NA,NA,NA,NA,"NA NA"
"8944",NA,NA,NA,NA,NA,"NA NA"
"8945",NA,NA,NA,NA,NA,"NA NA"
"8946",NA,NA,NA,NA,NA,"NA NA"
"8947",NA,NA,NA,NA,NA,"NA NA"
"8948",NA,NA,NA,NA,NA,"NA NA"
"8949",NA,NA,NA,NA,NA,"NA NA"
"8950",NA,NA,NA,NA,NA,"NA NA"
"8951",NA,NA,NA,NA,NA,"NA NA"
"8952",NA,NA,NA,NA,NA,"NA NA"
"8953",NA,NA,NA,NA,NA,"NA NA"
"8954",NA,NA,NA,NA,NA,"NA NA"
"8955",NA,NA,NA,NA,NA,"NA NA"
"8956",NA,NA,NA,NA,NA,"NA NA"
"8957",NA,NA,NA,NA,NA,"NA NA"
"8958",NA,NA,NA,NA,NA,"NA NA"
"8959",NA,NA,NA,NA,NA,"NA NA"
"8960",NA,NA,NA,NA,NA,"NA NA"
"8961",NA,NA,NA,NA,NA,"NA NA"
"8962",NA,NA,NA,NA,NA,"NA NA"
"8963",NA,NA,NA,NA,NA,"NA NA"
"8964",NA,NA,NA,NA,NA,"NA NA"
"8965",NA,NA,NA,NA,NA,"NA NA"
"8966",NA,NA,NA,NA,NA,"NA NA"
"8967",NA,NA,NA,NA,NA,"NA NA"
"8968",NA,NA,NA,NA,NA,"NA NA"
"8969",NA,NA,NA,NA,NA,"NA NA"
"8970",NA,NA,NA,NA,NA,"NA NA"
"8971",NA,NA,NA,NA,NA,"NA NA"
"8972",NA,NA,NA,NA,NA,"NA NA"
"8973",NA,NA,NA,NA,NA,"NA NA"
"8974",NA,NA,NA,NA,NA,"NA NA"
"8975",NA,NA,NA,NA,NA,"NA NA"
"8976",NA,NA,NA,NA,NA,"NA NA"
"8977",NA,NA,NA,NA,NA,"NA NA"
"8978",NA,NA,NA,NA,NA,"NA NA"
"8979",NA,NA,NA,NA,NA,"NA NA"
"8980",NA,NA,NA,NA,NA,"NA NA"
"8981",NA,NA,NA,NA,NA,"NA NA"
"8982",NA,NA,NA,NA,NA,"NA NA"
"8983",NA,NA,NA,NA,NA,"NA NA"
"8984",NA,NA,NA,NA,NA,"NA NA"
"8985",NA,NA,NA,NA,NA,"NA NA"
"8986",NA,NA,NA,NA,NA,"NA NA"
"8987",NA,NA,NA,NA,NA,"NA NA"
"8988",NA,NA,NA,NA,NA,"NA NA"
"8989",NA,NA,NA,NA,NA,"NA NA"
"8990",NA,NA,NA,NA,NA,"NA NA"
"8991",NA,NA,NA,NA,NA,"NA NA"
"8992",NA,NA,NA,NA,NA,"NA NA"
"8993",NA,NA,NA,NA,NA,"NA NA"
"8994",NA,NA,NA,NA,NA,"NA NA"
"8995",NA,NA,NA,NA,NA,"NA NA"
"8996",NA,NA,NA,NA,NA,"NA NA"
"8997",NA,NA,NA,NA,NA,"NA NA"
"8998",NA,NA,NA,NA,NA,"NA NA"
"8999",NA,NA,NA,NA,NA,"NA NA"
"9000",NA,NA,NA,NA,NA,"NA NA"
"9001",NA,NA,NA,NA,NA,"NA NA"
"9002",NA,NA,NA,NA,NA,"NA NA"
"9003",NA,NA,NA,NA,NA,"NA NA"
"9004",NA,NA,NA,NA,NA,"NA NA"
"9005",NA,NA,NA,NA,NA,"NA NA"
"9006",NA,NA,NA,NA,NA,"NA NA"
"9007",NA,NA,NA,NA,NA,"NA NA"
"9008",NA,NA,NA,NA,NA,"NA NA"
"9009",NA,NA,NA,NA,NA,"NA NA"
"9010",NA,NA,NA,NA,NA,"NA NA"
"9011",NA,NA,NA,NA,NA,"NA NA"
"9012",NA,NA,NA,NA,NA,"NA NA"
"9013",NA,NA,NA,NA,NA,"NA NA"
"9014",NA,NA,NA,NA,NA,"NA NA"
"9015",NA,NA,NA,NA,NA,"NA NA"
"9016",NA,NA,NA,NA,NA,"NA NA"
"9017",NA,NA,NA,NA,NA,"NA NA"
"9018",NA,NA,NA,NA,NA,"NA NA"
"9019",NA,NA,NA,NA,NA,"NA NA"
"9020",NA,NA,NA,NA,NA,"NA NA"
"9021",NA,NA,NA,NA,NA,"NA NA"
"9022",NA,NA,NA,NA,NA,"NA NA"
"9023",NA,NA,NA,NA,NA,"NA NA"
"9024",NA,NA,NA,NA,NA,"NA NA"
"9025",NA,NA,NA,NA,NA,"NA NA"
"9026",NA,NA,NA,NA,NA,"NA NA"
"9027",NA,NA,NA,NA,NA,"NA NA"
"9028",NA,NA,NA,NA,NA,"NA NA"
"9029",NA,NA,NA,NA,NA,"NA NA"
"9030",NA,NA,NA,NA,NA,"NA NA"
"9031",NA,NA,NA,NA,NA,"NA NA"
"9032",NA,NA,NA,NA,NA,"NA NA"
"9033",NA,NA,NA,NA,NA,"NA NA"
"9034",NA,NA,NA,NA,NA,"NA NA"
"9035",NA,NA,NA,NA,NA,"NA NA"
"9036",NA,NA,180780,NA,NA,"NA NA"
"9037",NA,NA,181052,NA,NA,"NA NA"
"9038",NA,NA,204743,NA,NA,"NA NA"
"9039",NA,NA,166249,NA,NA,"NA NA"
"9040",NA,NA,204774,NA,NA,"NA NA"
"9041",NA,NA,214208,NA,NA,"NA NA"
"9042",NA,NA,204295,NA,NA,"NA NA"
"9043",NA,NA,205507,NA,NA,"NA NA"
"9044",NA,NA,180373,NA,NA,"NA NA"
"9045",NA,NA,214868,NA,NA,"NA NA"
"9046",NA,NA,167019,NA,NA,"NA NA"
"9047",NA,NA,204577,NA,NA,"NA NA"
"9048",NA,NA,200156,NA,NA,"NA NA"
"9049",NA,NA,243070,NA,NA,"NA NA"
"9050",NA,NA,214041,NA,NA,"NA NA"
"9051",NA,NA,166468,NA,NA,"NA NA"
"9052",NA,NA,166400,NA,NA,"NA NA"
"9053",NA,NA,NA,NA,NA,"NA NA"
"9054",NA,NA,214539,NA,NA,"NA NA"
"9055",NA,NA,190748,NA,NA,"NA NA"
"9056",NA,NA,159946,NA,NA,"NA NA"
"9057",NA,NA,214599,NA,NA,"NA NA"
"9058",NA,NA,180905,NA,NA,"NA NA"
"9059",NA,NA,166149,NA,NA,"NA NA"
"9060",NA,NA,164377,NA,NA,"NA NA"
"9061",NA,NA,214678,NA,NA,"NA NA"
"9062",NA,NA,NA,NA,NA,"NA NA"
"9063",NA,NA,243104,NA,NA,"NA NA"
"9064",NA,NA,242332,NA,NA,"NA NA"
"9065",NA,NA,214185,NA,NA,"NA NA"
"9066",NA,NA,160484,NA,NA,"NA NA"
"9067",NA,NA,214448,NA,NA,"NA NA"
"9068",NA,NA,204652,NA,NA,"NA NA"
"9069",NA,NA,214161,NA,NA,"NA NA"
"9070",NA,NA,180414,NA,NA,"NA NA"
"9071",NA,NA,190719,NA,NA,"NA NA"
"9072",NA,NA,NA,NA,NA,"NA NA"
"9073",NA,NA,205026,NA,NA,"NA NA"
"9074",NA,NA,243026,NA,NA,"NA NA"
"9075",NA,NA,190304,NA,NA,"NA NA"
"9076",NA,NA,242907,NA,NA,"NA NA"
"9077",NA,NA,214245,NA,NA,"NA NA"
"9078",NA,NA,214224,NA,NA,"NA NA"
"9079",NA,NA,166482,NA,NA,"NA NA"
"9080",NA,NA,214621,NA,NA,"NA NA"
"9081",NA,NA,148336,NA,NA,"NA NA"
"9082",NA,NA,164824,NA,NA,"NA NA"
"9083",NA,NA,180757,NA,NA,"NA NA"
"9084",NA,NA,166796,NA,NA,"NA NA"
"9085",NA,NA,NA,NA,NA,"NA NA"
"9086",NA,NA,160091,NA,NA,"NA NA"
"9087",NA,NA,199754,NA,NA,"NA NA"
"9088",NA,NA,190285,NA,NA,"NA NA"
"9089",NA,NA,243055,NA,NA,"NA NA"
"9090",NA,NA,166585,NA,NA,"NA NA"
"9091",NA,NA,190803,NA,NA,"NA NA"
"9092",NA,NA,159850,NA,NA,"NA NA"
"9093",NA,NA,204694,NA,NA,"NA NA"
"9094",NA,NA,205670,NA,NA,"NA NA"
"9095",NA,NA,100642,NA,NA,"NA NA"
"9096",NA,NA,204617,NA,NA,"NA NA"
"9097",NA,NA,213685,NA,NA,"NA NA"
"9098",NA,NA,214587,NA,NA,"NA NA"
"9099",NA,NA,214499,NA,NA,"NA NA"
"9100",NA,NA,200418,NA,NA,"NA NA"
"9101",NA,NA,180685,NA,NA,"NA NA"
"9102",NA,NA,191135,NA,NA,"NA NA"
"9103",NA,NA,NA,NA,NA,"NA NA"
"9104",NA,NA,163815,NA,NA,"NA NA"
"9105",NA,NA,242919,NA,NA,"NA NA"
"9106",NA,NA,189994,NA,NA,"NA NA"
"9107",NA,NA,181255,NA,NA,"NA NA"
"9108",NA,NA,180625,NA,NA,"NA NA"
"9109",NA,NA,214492,NA,NA,"NA NA"
"9110",NA,NA,204562,NA,NA,"NA NA"
"9111",NA,NA,214465,NA,NA,"NA NA"
"9112",NA,NA,214958,NA,NA,"NA NA"
"9113",NA,NA,190622,NA,NA,"NA NA"
"9114",NA,NA,214515,NA,NA,"NA NA"
"9115",NA,NA,199950,NA,NA,"NA NA"
"9116",NA,NA,213961,NA,NA,"NA NA"
"9117",NA,NA,148080,NA,NA,"NA NA"
"9118",NA,NA,242865,NA,NA,"NA NA"
"9119",NA,NA,214162,NA,NA,"NA NA"
"9120",NA,NA,200270,NA,NA,"NA NA"
"9121",NA,NA,181161,NA,NA,"NA NA"
"9122",NA,NA,214106,NA,NA,"NA NA"
"9123",NA,NA,204547,NA,NA,"NA NA"
"9124",NA,NA,213909,NA,NA,"NA NA"
"9125",NA,NA,214426,NA,NA,"NA NA"
"9126",NA,NA,204683,NA,NA,"NA NA"
"9127",NA,NA,180821,NA,NA,"NA NA"
"9128",NA,NA,200052,NA,NA,"NA NA"
"9129",NA,NA,242679,NA,NA,"NA NA"
"9130",NA,NA,180796,NA,NA,"NA NA"
"9131",NA,NA,166648,NA,NA,"NA NA"
"9132",NA,NA,243205,NA,NA,"NA NA"
"9133",NA,NA,NA,NA,NA,"NA NA"
"9134",NA,NA,214307,NA,NA,"NA NA"
"9135",NA,NA,213967,NA,NA,"NA NA"
"9136",NA,NA,242667,NA,NA,"NA NA"
"9137",NA,NA,214294,NA,NA,"NA NA"
"9138",NA,NA,NA,NA,NA,"NA NA"
"9139",NA,NA,NA,NA,NA,"NA NA"
"9140",NA,NA,NA,NA,NA,"NA NA"
"9141",NA,NA,NA,NA,NA,"NA NA"
"9142",NA,NA,NA,NA,NA,"NA NA"
"9143",NA,NA,NA,NA,NA,"NA NA"
"9144",NA,NA,NA,NA,NA,"NA NA"
"9145",NA,NA,NA,NA,NA,"NA NA"
"9146",NA,NA,NA,NA,NA,"NA NA"
"9147",NA,NA,NA,NA,NA,"NA NA"
"9148",NA,NA,NA,NA,NA,"NA NA"
"9149",NA,NA,NA,NA,NA,"NA NA"
"9150",NA,NA,NA,NA,NA,"NA NA"
"9151",NA,NA,NA,NA,NA,"NA NA"
"9152",NA,NA,NA,NA,NA,"NA NA"
"9153",NA,NA,NA,NA,NA,"NA NA"
"9154",NA,NA,NA,NA,NA,"NA NA"
"9155",NA,NA,NA,NA,NA,"NA NA"
"9156",NA,NA,NA,NA,NA,"NA NA"
"9157",NA,NA,NA,NA,NA,"NA NA"
"9158",NA,NA,NA,NA,NA,"NA NA"
"9159",NA,NA,NA,NA,NA,"NA NA"
"9160",NA,NA,NA,NA,NA,"NA NA"
"9161",NA,NA,NA,NA,NA,"NA NA"
"9162",NA,NA,NA,NA,NA,"NA NA"
"9163",NA,NA,NA,NA,NA,"NA NA"
"9164",NA,NA,NA,NA,NA,"NA NA"
"9165",NA,NA,NA,NA,NA,"NA NA"
"9166",NA,NA,NA,NA,NA,"NA NA"
"9167",NA,NA,NA,NA,NA,"NA NA"
"9168",NA,NA,NA,NA,NA,"NA NA"
"9169",NA,NA,NA,NA,NA,"NA NA"
"9170",NA,NA,NA,NA,NA,"NA NA"
"9171",NA,NA,NA,NA,NA,"NA NA"
"9172",NA,NA,NA,NA,NA,"NA NA"
"9173",NA,NA,NA,NA,NA,"NA NA"
"9174",NA,NA,NA,NA,NA,"NA NA"
"9175",NA,NA,NA,NA,NA,"NA NA"
"9176",NA,NA,NA,NA,NA,"NA NA"
"9177",NA,NA,NA,NA,NA,"NA NA"
"9178",NA,NA,NA,NA,NA,"NA NA"
"9179",NA,NA,NA,NA,NA,"NA NA"
"9180",NA,NA,NA,NA,NA,"NA NA"
"9181",NA,NA,NA,NA,NA,"NA NA"
"9182",NA,NA,NA,NA,NA,"NA NA"
"9183",NA,NA,NA,NA,NA,"NA NA"
"9184",NA,NA,NA,NA,NA,"NA NA"
"9185",NA,NA,NA,NA,NA,"NA NA"
"9186",NA,NA,NA,NA,NA,"NA NA"
"9187",NA,NA,NA,NA,NA,"NA NA"
"9188",NA,NA,NA,NA,NA,"NA NA"
"9189",NA,NA,NA,NA,NA,"NA NA"
"9190",NA,NA,NA,NA,NA,"NA NA"
"9191",NA,NA,NA,NA,NA,"NA NA"
"9192",NA,NA,NA,NA,NA,"NA NA"
"9193",NA,NA,NA,NA,NA,"NA NA"
"9194",NA,NA,NA,NA,NA,"NA NA"
"9195",NA,NA,NA,NA,NA,"NA NA"
"9196",NA,NA,NA,NA,NA,"NA NA"
"9197",NA,NA,NA,NA,NA,"NA NA"
"9198",NA,NA,NA,NA,NA,"NA NA"
"9199",NA,NA,NA,NA,NA,"NA NA"
"9200",NA,NA,NA,NA,NA,"NA NA"
"9201",NA,NA,NA,NA,NA,"NA NA"
"9202",NA,NA,NA,NA,NA,"NA NA"
"9203",NA,NA,NA,NA,NA,"NA NA"
"9204",NA,NA,NA,NA,NA,"NA NA"
"9205",NA,NA,NA,NA,NA,"NA NA"
"9206",NA,NA,NA,NA,NA,"NA NA"
"9207",NA,NA,NA,NA,NA,"NA NA"
"9208",NA,NA,NA,NA,NA,"NA NA"
"9209",NA,NA,NA,NA,NA,"NA NA"
"9210",NA,NA,NA,NA,NA,"NA NA"
"9211",NA,NA,NA,NA,NA,"NA NA"
"9212",NA,NA,NA,NA,NA,"NA NA"
"9213",NA,NA,NA,NA,NA,"NA NA"
"9214",NA,NA,NA,NA,NA,"NA NA"
"9215",NA,NA,NA,NA,NA,"NA NA"
"9216",NA,NA,NA,NA,NA,"NA NA"
"9217",NA,NA,NA,NA,NA,"NA NA"
"9218",NA,NA,NA,NA,NA,"NA NA"
"9219",NA,NA,NA,NA,NA,"NA NA"
"9220",NA,NA,NA,NA,NA,"NA NA"
"9221",NA,NA,NA,NA,NA,"NA NA"
"9222",NA,NA,NA,NA,NA,"NA NA"
"9223",NA,NA,NA,NA,NA,"NA NA"
"9224",NA,NA,NA,NA,NA,"NA NA"
"9225",NA,NA,NA,NA,NA,"NA NA"
"9226",NA,NA,NA,NA,NA,"NA NA"
"9227",NA,NA,NA,NA,NA,"NA NA"
"9228",NA,NA,NA,NA,NA,"NA NA"
"9229",NA,NA,NA,NA,NA,"NA NA"
"9230",NA,NA,NA,NA,NA,"NA NA"
"9231",NA,NA,NA,NA,NA,"NA NA"
"9232",NA,NA,NA,NA,NA,"NA NA"
"9233",NA,NA,NA,NA,NA,"NA NA"
"9234",NA,NA,NA,NA,NA,"NA NA"
"9235",NA,NA,NA,NA,NA,"NA NA"
"9236",NA,NA,NA,NA,NA,"NA NA"
"9237",NA,NA,NA,NA,NA,"NA NA"
"9238",NA,NA,NA,NA,NA,"NA NA"
"9239",NA,NA,NA,NA,NA,"NA NA"
"9240",NA,NA,NA,NA,NA,"NA NA"
"9241",NA,NA,NA,NA,NA,"NA NA"
"9242",NA,NA,NA,NA,NA,"NA NA"
"9243",NA,NA,NA,NA,NA,"NA NA"
"9244",NA,NA,NA,NA,NA,"NA NA"
"9245",NA,NA,NA,NA,NA,"NA NA"
"9246",NA,NA,NA,NA,NA,"NA NA"
"9247",NA,NA,NA,NA,NA,"NA NA"
"9248",NA,NA,NA,NA,NA,"NA NA"
"9249",NA,NA,NA,NA,NA,"NA NA"
"9250",NA,NA,NA,NA,NA,"NA NA"
"9251",NA,NA,NA,NA,NA,"NA NA"
"9252",NA,NA,NA,NA,NA,"NA NA"
"9253",NA,NA,NA,NA,NA,"NA NA"
"9254",NA,NA,NA,NA,NA,"NA NA"
"9255",NA,NA,NA,NA,NA,"NA NA"
"9256",NA,NA,NA,NA,NA,"NA NA"
"9257",NA,NA,NA,NA,NA,"NA NA"
"9258",NA,NA,NA,NA,NA,"NA NA"
"9259",NA,NA,NA,NA,NA,"NA NA"
"9260",NA,NA,NA,NA,NA,"NA NA"
"9261",NA,NA,NA,NA,NA,"NA NA"
"9262",NA,NA,NA,NA,NA,"NA NA"
"9263",NA,NA,NA,NA,NA,"NA NA"
"9264",NA,NA,NA,NA,NA,"NA NA"
"9265",NA,NA,NA,NA,NA,"NA NA"
"9266",NA,NA,NA,NA,NA,"NA NA"
"9267",NA,NA,NA,NA,NA,"NA NA"
"9268",NA,NA,NA,NA,NA,"NA NA"
"9269",NA,NA,NA,NA,NA,"NA NA"
"9270",NA,NA,NA,NA,NA,"NA NA"
"9271",NA,NA,NA,NA,NA,"NA NA"
"9272",NA,NA,NA,NA,NA,"NA NA"
"9273",NA,NA,NA,NA,NA,"NA NA"
"9274",NA,NA,NA,NA,NA,"NA NA"
"9275",NA,NA,NA,NA,NA,"NA NA"
"9276",NA,NA,NA,NA,NA,"NA NA"
